Unit	Page	Verses	Attributions	Biblical	Comment
412	41r	Rom.8.9	ιβ  	ὑμεῖς δὲ οὐκ ἐστε ἐν σαρκὶ ἂλλ ἐν πνεύματι 	διὰ τὴν δοθεῖσάν φησι τοῦ θεοῦ χάριν οὐκ ἐστε ἐν σαρκὶ τουτέστιν ἐν σαρκικαῖς καὶ ἁμαρτωλοῖς πράξεσιν ἂλλ ἐν πνευματικῶ φρονήματι 
413	41r	Rom.8.9	ιγ  	εἴπερ πνεῦμα θεοῦ οἰκεῖ ἐν ὑμῖν 	οὐκ ἐστι τὸ εἴπερ ἐνταῦθα ἀμφιβάλλοντος ἀλλὰ πεπεισμένου ἀντὶ τοῦ ἐπειδήπερ πνεῦμα θεοῦ οἰκεῖ ἐν ὑμῖν ὡς καὶ ἐκεῖ ἐπείπερ δίκαιον παρὰ θεῶι ἀποδοῦναι τοῖς θλίβουσιν ὑμᾶς θλῖψιν καὶ γὰρ κἀκεῖ τὸ εἴπερ ἐπειδήπερ κεῖται 
413Ph	41r	Rom.8.9	Φωτ(ιου) *  		εἴπερ πνεῦμα θεοῦ Ὅρα πῶς φησιν εἴπερ πνεῦμα θεοῦ οἰκεῖ ἐν ὑμῖν καὶ πάλιν εἰ δὲ Χριστὸς ἐν ὑμῖν ἔνθα γὰρ ἓν τῶν τῆς ἁγίας τριάδος οἰκήσει ἐκεῖ πάρεστιν ἡ τριὰς εἶτά φησιν ἐπειδὴ Χριστὸς ἐν ὑμῖν δηλονότι τὸ μὲν σῶμα νεκρὸν κατὰ τὴν ἁμαρτίαν τοῦτο γὰρ δηλοῖ τὸ δι' ἁμαρτίαν οὐ γὰρ ἂν ἐνῴκει Χριστὸς εἰ μὴ κατὰ τὴν ἁμαρτίαν τὸ σῶμα νενέκρωτο νεκρὸν οὖν τὸ σῶμα κατὰ τὴν ἁμαρτίαν τὸ δὲ πνεῦμα 
414	41v	Rom.8.9	ιδ  	εἰ δέ τις πνεῦμα Χριστοῦ οὐκ ἔχει οὗτος οὐκ ἐστιν αὐτοῦ 	ἵνα μὴ λυπήση οὐκ εἶπεν εἰ δὲ οὐκ ἔχετε ἀλλὰ εἰ τις ὡς ἐπὶ ἄλλων 
414ex	41v	Rom.8.9	Σευηρι(ανου)  s 	εἰ δέ τις πνεῦμα Χριστοῦ οὐκ ἔχει οὗτος οὐκ ἐστιν αὐτοῦ 	πνεῦμα Χριστοῦ εἶπεν τὰ χαρίσματα τῆς καινῆς διαθήκης 
415exa	41v	Rom.8.9	ιε  Οικουμενι(ου) 	εἰ δέ τις πνεῦμα Χριστοῦ οὐκ ἔχει οὗτος οὐκ ἐστιν αὐτοῦ 	κοινὸν γὰρ πατρὸς καὶ υἱοῦ τὸ πνεῦμα 
415exb	41v	Rom.8.10	Ιω(αννου)  s 	εἰ δὲ Χριστὸς ἐν ὑμῖν 	ἔδειξεν ὡς οὐ τῆς σαρκὸς κατηγορεῖ ἀλλὰ τῆς ἁμαρτίας τῆι γὰρ ἁμαρτίαι προσέταξε τοῦτο γενέσθαι νεκρὸν ἀντὶ τοῦ τὴν ἁμαρτίαν μὴ ἐνεργεῖν πνεῦμα δὲ ἐνταῦθα τὴν ψυχὴν προσηγόρευσεν ὡς πνευματικὴν ἤδη γεγενημένην ταύτῃ μετιέναι τὴν δικαιοσύνην κελεύει ἧς καρπὸς ἀξιέραστος ἡ ζωή 
416	41v	Rom.8.10	ιϛ  	εἰ δὲ Χριστὸς ἐν ὑμῖν 	τὸ λυπηρον ἐπὶ ἄλλο θεὶς καὶ ἑνὸς εἰ δέ τις φησι πνεῦμα θεοῦ τὸ ποθητὸν εἶπεν ἐπὶ αὐτῶν καὶ πληθυντικῶς εἰ δὲ Χριστὸς ἐν ὑμῖν 
417	41v	Rom.8.10	ιζ  	τὸ μὲν σῶμα νεκρὸν δι' ἁμαρτίαν 	τὸ σῶμά φησιν ἔσται νεκρὸν ὡς πρὸς τὴν τῆς ἁμαρτίας ἐνέργειαν τοῦτο γὰρ τὸ διὰ ἁμαρτίαν 
418	41v	Rom.8.10-Rom.8.11	ιη  	τὸ δὲ πνεῦμα ζωὴ διὰ δικαιοσύνην εἰ δὲ τὸ πνεῦμα τοῦ ἐγείραντος Ἰησοῦν ἐκ νεκρῶν οἰκεῖ ἐν ὑμῖν 	μὴ φοβησθῇς φησι ἀκούων νεκρὸν ἔχεις γὰρ καὶ ζωὴν τὸ πνεῦμα εἰς δικαιοσύνης ἐνέργειαν ὥσπερ δὲ εἶπε τὸ μὲν σῶμα νεκρὸν οὕτως ἦν ἀκολουθον εἰπεῖν τὸ δὲ πνεῦμα ζωοποιὸν * ἂλλ εἶπε ζωὴ δεικνὺς οὐ μόνον ζῶν τὸ πνεῦμα ἀλλὰ καὶ ζωοποιόν 
418ex	41v	Rom.8.11	 s 	ὁ ἐγείρας τὸν Χριστὸν ἐκ νεκρῶν 	ἐγήγερται ὁ κύριος ἡμῶν Ἰησοῦς ὁ Χριστὸς παρὰ τοῦ πατρὸς ἐνεργουμένης περὶ τὴν σάρκα αὐτοῦ τῆς ζωῆς διὰ τοῦ ἁγίου πνεύματος ὃ ἐστιν αὐτοῦ οὐκοῦν καὶ εἰ ἐγηγέρθαι λέγοιτο παρὰ τοῦ πατρὸς ἀλλὰ καὶ αὐτος ἦν ὁ ἀναστὰς διὰ τοῦ ἁγίου πνεύματος πάντα γὰρ ἐνεργεῖται τὰ θεοπρεπῆ παρὰ τοῦ πατρὸς δι' υἱοῦ ἐν πνεύματι ἐγερεῖ τοίνυν καὶ τὰ ἡμῶν σώματα ἐκ νεκρῶν ὁ Χριστός 
419	41v	Rom.8.11	ιθ  	ὁ ἐγείρας τὸν Χριστὸν ἐκ νεκρῶν ζωοποιήσει 	εἰς τὸν περὶ ἀναστάσεως ἦλθε λόγον ἐπεὶ οὖν ἐν ταύτηι πάντες μὲν ἀνίστανται ἂλλ οἱ μὲν εἰς ζωὴν οἱ δὲ εἰς τιμωρίαν οὐκ εἶπεν ἀναστήσει ἀλλὰ ζωοποιήσει τουτέστιν εἰς ζωὴν καὶ δόξαν ἀναστήσει 
420	41v	Rom.8.11	κ  	καὶ τὰ θνητὰ σώματα ὑμῶν διὰ τὸ ἐνοικοῦν αὐτοῦ πνεῦμα ἐν ὑμῖν 	τὴν αἰτίαν εἶπε τῆς ζωοποιήσεως ἐνοικοῦν δὲ εἶπεν τὴν δι' ὅλου μόνην δηλῶν 
421	41v	Rom.8.12-Rom.8.13	κα  	ἄρα οὖν ἀδελφοὶ ὀφειλέται ἐσμεν οὐ τῆι σαρκὶ τοῦ κατὰ σάρκα ζῆν εἰ γὰρ κατὰ σάρκα ζῆτε μέλλετε 	μετὰ γὰρ τὴν τοσαύτην χάριν χρεωστοῦμεν κατὰ τὸ θέλημα τοῦ θεοῦ ζῆν καὶ οὐκέτι κατὰ σάρκα εἶτα ἵνα μὴ νομισθῇ τὰς ἀναγκαίας ἀναιρεῖν τοῦ σώματος ὑπηρεσίας οἷον τροφὴν ἔνδυμα ἐπάγει τοῦ κατὰ σάρκα ζῆν τουτέστιν ἐν ἁμαρτίαις καὶ εἰς τὸ ἐπιτρέπειν ταῖς σαρκικαῖς ἐπιθυμίαις 
422	41v	Rom.8.13	κβ  	ἀποθνήσκειν εἰ δὲ πνεύματι 	τὸν ἀθάνατον θάνατον ἐν τῆι γεέννηι 
423	42r	Rom.8.13	κγ  	τὰς πράξεις τοῦ σώματος θανατοῦτε ζήσεσθε 	εἶδε διὰ πνεύματος ἁγίου τὰς πράξεις τοῦ σώματος τουτέστι τὰς πονηρᾶς ἀναιρεῖτε ζήσεσθε τὴν μακαρίαν ἐκείνην ζωήν 
424	42r	Rom.8.14	κδ  	ὅσοι γὰρ πνεύματι θεοῦ ἄγονται οὗτοὶ εἰσιν υἱοί 	οὐκ εἶπεν ὅσοι πνεῦμα θεοῦ λάβωσιν ἂλλ ὅσοι πνεύματι ἄγονται τουτέστι παντὸς τοῦ βίου ἡνίοχον καὶ ἡγεμόνα προστήσονται πάντες μὲν γὰρ οἱ βαπτιζόμενοι πνεῦμα ἅγιον λαμβάνουσιν ἂλλ οὐ πάντες αὐτῶι τὴν ἡγεμονίαν ἐνδιδόασιν 
425	42r	Rom.8.14	κε  	θεοῦ 	ἰδοὺ καὶ τὴν υἱοθεσίαν εὐαγγελίζεται 
426	42r	Rom.8.15	κϛ  	οὐ γὰρ ἐλάβετε πνεῦμα 	ἐπειδὴ υἱοθεσίας ἐμνήσθη ἦσαν δὲ καὶ Ἰουδαῖοι τούτου ἠξιωμένοι τοῦ ὀνόματος ὡς τὸ υἱος πρωτότοκος μου Ἰσραὴλ καὶ ἐγὼ εἶπα θεοὶ ἐστε καὶ υἱοὶ ὑψίστου πάντες θέλει δεῖξαι πολλὴν τὴν τῶν υἱοθεσιῶν διαφορὰν οὐ γὰρ ἐλάβομεν φησι πνεῦμα δουλείας πάλιν εἰς φόβον οὐχ ὥσπερ φησι Ἰουδαῖοι πνευματικὸν ἔλαβον νόμον ὡς δοῦλοι εἰς φόβον τοῦτο γὰρ δηλοῖ τὸ πνεῦμα δουλείας αὐτοὶ γὰρ διὰ τοῦ ἐν χερσὶ τοῦ παρακειμένου φοβοῦ ὡς δοῦλοι ἠναγκάζοντο τὰ δέοντα ποιεῖν ἡμεῖς δέ φησι ὡς υἱοὶ διὰ τὴν ἐν οὐρανοῖς ἐλπίδα τὰ δέοντα ποιοῦμεν οὐκοῦν ἐκείνοις μὲν τοῖς ενταξει δούλων ἐν φόβωι ζῶσιν ἄχρις ὀνόματος καὶ τιμῆς ἡ υιοθησια ἡμῖν δὲ κατὰ ἀλήθειαν 
426Ph	42r	Rom.8.15	Φωτ(ιου) *  		Ἂλλ Ἐλάβετε πνεῦμα πόθεν δῆλον πατέρα καλοῦμεν τὸν θεὸν φησὶν ἐν ᾧ κράζομεν Ἀββᾶ ὁ πατὴρ ἐν αὐτῷ γὰρ τῷ τῆς υἱοθεσίας πνεύματι τὴν φωνὴν ταύτην ἠξιώμεθα προσάπτειν τῷ θεῷ καὶ πατέρα καλεῖν αὐτον καὶ πόθεν δῆλον ὅτι καλῶς καὶ ἀρεσκοντως τῷ θεῷ ταύτην αὐτῷ ἀναφέρομεν τὴν φωνὴν ὁ υἱὸς ἡμᾶς ἐδίδαξεν οὕτω λέγειν Πάτερ ἡμῶν ὁ ἐν τοῖς οὐρανοῖς καὶ ἑξῆς αὐτὸς δὲ ἐπειδὴ κοινὰ οἶδε τὰ τῆς εἰς ἡμᾶς οἰκονομίας ἔργα τοῦ Χριστοῦ τὸ πνεῦμά φησι συμμαρτυρεῖν Χριστοῦ γὰρ παραδεδωκότος ταύτην τὴν εὐχὴν καὶ τὸ πνεῦμα παραδίδωσι καὶ συμμαρτυρεῖ τῷ ἐν ἡμῖν δοθέντι χαρίσματι δι' αὐτοῦ τὶ δὲ συμμαρτυρεῖ ὅτι καλῶς καὶ ἀρεσκοντως θεῷ λέγομεν αὐτὸν πατέρα ἡμῶν ὅτι τέκνα αὐτοῦ ἐσμεν υἱοθετηθέντες αὐτῷ τῷ βαπτίσματι εἰ δὲ τέκνα φησὶ καὶ κληρονόμοι οἱ δέ γε Ἰουδαῖοι εἰ καὶ ἐκαλοῦντο τέκνα θεοῦ ἀλλὰ παμπολλη κλήσεως ἑκατέρας καὶ υἱοθεσίας ἡ διαφορὰ οἱ μὲν γὰρ τυπικῶς ὠνομάζοντο ὥσπερ καὶ τἄλλα αὐτοῖς εἰς τύπον ἐτελεῖτο τῆς χάριτος ἡμεῖς δὲ οὐ τυπικῶς ἀλλ' αὐτοτελῶς καὶ οἱ μὲν εἰ καὶ ἐκαλοῦντο υἱοὶ ἀλλ' οὐκ ἦν αὐτοῖς δεδομένον τὸ καὶ αὐτοὺς τὸν θεὸν καλεῖν πατέρα ἡμῖν δὲ καὶ τοῦτο κεχάρισται καὶ πολλὴ ἄλλη διαφορά 
426ex	42r	Rom.8.15	Οικου(μενιου) *  		ὥσπερ πάντα τὰ παρ' αὐτοῖς τύπος ἦν τῶν ἡμετέρων οὕτως ἡγοῦμαι κα τὴν υἱοθεσίαν 
427	42r	Rom.8.15	κζ  	δουλείας πάλιν εἰς φόβον ἂλλ ἐλάβετε πνεῦμα 	τὸν πμευματικον φησι νόμον οὐ γὰρ ἔλαβον καθολικῶς πνεῦμα Ἰουδαῖοι 
428	42r	Rom.8.15	κη  	υἱοθεσίας 	καί τοι ἀκολουθον ἦν εἰπεῖν ἐλευθερίας ἂλλ ὅμως τὸ μεῖζον λέγει 
429	42r	Rom.8.15	κθ  	ἐν ὧι κράζομεν ἀββᾶ ὁ πατήρ 	λέγομεν γὰρ πάτερ ἡμῶν ὁ ἐν τοῖς οὐρανοῖς τέθεικε δὲ καὶ τὴν ἑβραίων λέξιν ἵνα τὸ γνήσιον δείξῃ διὰ πάντων 
430	42v	Rom.8.16	λ  	αὐτο τὸ πνεῦμα συμμαρτυρεῖ τῶι πνεύματι ἡμῶν ὅτὶ ἐσμεν τέκνα θεοῦ 	ἐπειδὴ καὶ Ἰουδαῖοι πατέρα ἐκάλουν τὸν θεὸν θέλει δεῖξαι ὅτι αὐτοῖς μὲν οὐκ ἐπετέτραπτο τοῦτο ἡμῖν δὲ ναὶ δῆλον ἐκ τοῦ μαρτυροῦντος πνεύματος καί φησι αὐτο τὸ πνεῦμα τουτέστιν αὐτος ὁ παράκλητος συμμαρτυρεῖ τῶι πνεύματι ἡμῶν ὃ ἐστι τῶι δοθέντι ἡμῖν παρ' αὐτοῦ χαρίσματι οὐ γὰρ μόνον τοῦ χαρίσματος ἡ τοιαύτη φωνὴ ἀλλὰ καὶ τοῦ δωρησαμένου ἔνθα οὖν τὸ πνεῦμα μαρτυρεῖ ποία ἐστι ἀμφισβήτησις 
431	42v	Rom.8.17	λα  	εἰ δὲ τέκνα καὶ κληρονόμοι 	λοιπὸν αὔξει τὴν ἀξίαν ἑνὶ γὰρ τέκνα μὴ κληρονομοῦντα 
432	42v	Rom.8.17	λβ  	κληρονόμοι μὲν θεοῦ 	ὁρᾷς ὅτι άλλη ἐστιν ἡ υἱοθεσία ἡμῶν παρὰ τὴν τῶν Ἰουδαίων ἡμεῖς γὰρ καὶ κληρονόμοι οἱ δὲ οὐχί φησι γὰρ περὶ αὐτῶν κακοὺς κακῶς ἀπολέσει καὶ τὸν ἀμπελῶνα ἐκδώσει ἄλλοις καὶ πάλιν πολλοί φησι ἥξουσι καὶ ἀνακλιθήσονται μετὰ Ἀβραὰμ οἱ δὲ υἱοὶ τῆς βασιλείας ἐκβληθήσονται 
433	42v	Rom.8.17	λγ  	συγκληρονόμοι δὲ Χριστοῦ 	πάλιν αὔξει τὸ ἀξίωμα καὶ φιλονεικεῖ ἐγγὺς ἡμᾶς στῆσαι τοῦ δεσπότου 
434	42v	Rom.8.17-Rom.8.18	λδ  	εἴπερ συμπάσχομεν ἵνα καὶ συνδοξασθῶμεν λογίζομαι γὰρ ὅτι οὐκ ἄξια τὰ παθήματα 	ἵνα μὴ ραθυμοτεροι τὸ πᾶν χάριτος είναι λογιζόμενοι γενώμεθα ἀπαιτεῖ καὶ τὰ παρ' ἡμῶν εἰ γὰρ ἐν τοῖς λυπηροῖς φησι κοινωνήσομεν καὶ ἐν τοῖς χρηστοῖς 
435	42v	Rom.8.18	λε  	τοῦ νυν καιροῦ 	τὸ πρόσκαιρον τῶν παθημάτων δηλοῖ διὰ τοῦ νυν καιροῦ 
436	42v	Rom.8.18	λϛ  	πρὸς τὴν μέλλουσαν δόξαν 	εἶτα δείκνυσι τὸ ὅλον σχεδὸν τῆς χάριτος ὃν διὰ τὸ νικᾷν ταῖς ἀντιδόσεσι τὸν θεὸν καὶ ὅτι οὐκ ἰσχύομεν ἄξιόν τι τῆς ἐκεῖ ἀντιδόσεως παθεῖν ἡ συνεισενέγκαι 
437	42v	Rom.8.18	λζ  	ἀποκαλυφθῆναι εἰς ἡμᾶς 	καλῶς τὸ ἀποκαλυφθῆναι ἐστι γὰρ καί νυν ἀλλὰ κέκρυπται 
438	42v	Rom.8.19	λη  	ἡ γὰρ ἀποκαραδοκία τῆς κτίσεως τὴν ἀποκάλυψιν τῶν υἱῶν τοῦ θεοῦ ἀπεκδέχεται 	ὁ λέγει τοιοῦτὸν ἐστι καὶ αὕτη φησι ἡ κτίσις σφόδρα προσδοκᾷ τὴν μέλλουσαν ἡμῶν δόξαν διά τι ἄφθαρτος φησι πλασθεῖσα διὰ τὰς τῶν ἀνθρώπων ἁμαρτίας φθαρτὴ γέγονεν ἐπεὶ καὶ ἡμεῖς εξαφθαρτων φθαρτὸ γεγόναμεν βούλεται οὖν ἡ κτίσις φησι τοὺς ἀνθρώπους τὴν ἀφθαρσίαν ἀπολαβεῖν ἔσται δὲ τοῦτο ἐν τῆι ἀναστάσει ἵνα καὶ αὕτη τὴν οἰκείαν ἀφθαρσίαν ἀπολάβῃ τοῦ γὰρ ἀνθρώπου δι' ὃν γέγονε φθαρτὴ τὴν ἀφθαρσίαν ἀπολαμβάνοντος καὶ αὕτη τὴν οἰκείαν ἀφθαρσίαν συναπολήψεται προσωποποιία δὲ ἐστι τὸ πᾶν ἵνα τε τῶν ἀγαθῶν τὴν ὑπερβολὴν δηλώσῃ καὶ ἵνα δείξῃ ὅτι ἡμεῖς μᾶλλον ὀφείλομεν σπουδάζειν τῆς τοιαύτης δόξης καὶ ἀφθαρσίας ἐπιτυχεῖν ἤπερ ἡ κτίσις ἐπεὶ μὴ νόμιζε τὴν ἄψυχον καὶ ἀναίσθητον κτίσιν τὰ τοιαῦτα προσδοκᾶν ἡ αἰσθάνεσθαι 
438ex	42v	Rom.8.19	 s 	ἡ γὰρ ἀποκαραδοκία τῆς κτίσεως 	σφόδρα προσδοκία 
439	42v	Rom.8.19	λθ *  		οἷον ἐπιτεταμένη προσδοκία 
440	42v	Rom.8.19	μ *  		τὸ τέλος ὅταν μέλλωσι δείκνυσθαι τινες υἱοὶ θεοῦ καί τινες υἱοὶ διαβόλου 
440exa	42v	Rom.8.19	*  		ὁ Χριστὸς ἐστιν ἡ ζωὴ ἡμῶν καὶ ἡ αναπαυσης καὶ τῶ φῶς τοῦ κόσμου 
440exb	42v	Rom.8.19	*  		καὶ πάντων τῶν χριστοιανων ηλπις 
441	43r	Rom.8.20	μα  	τῆι γὰρ ματαιότητι ἡ κτίσις ὑπετάγη 	οἷον τῆι φθορὰ τοῦτο γὰρ κατεκρίθη διὰ τὰς ἡμῶν ἁμαρτίας 
442	43r	Rom.8.20	μβ  	οὐχ ἑκοῦσα ἀλλὰ διὰ τὸν ὑποτάξαντα 	τῆς τοῦ Χριστοῦ δυνάμεως φησι τοῦτο τὸ ἔργον τὸ καὶ ἄκουσαν ὑποτάξαι 
443	43r	Rom.8.20-Rom.8.21	μγ  	ἐπ' ἐλπίδι ὅτι καὶ αυτὴ ἡ κτίσις ἐλευθερωθήσεται ἀπὸ τῆς δουλείας τῆς φθορᾶς 	καὶ αυτὴ γάρ φησι τὴν ἀπαλλαγὴν ἐλπίζει ἐπ' ἐλπίδι οὖν ἀπαλλαγῆς ὑπετάγη λοιπὸν ἑαυτὸν ἐφερμηνεύει πως ἐπ' ἐλπίδι ὅτι καὶ αυτὴ ἡ κτίσις ἐλευθερωθήσεται 
444	43r	Rom.8.21	μδ  	εἰς τὴν ἐλευθερίαν τῆς δόξης τῶν τέκνων τοῦ θεοῦ 	εἰς τὴν ἐλευθερίαν οἷον διὰ τὴν ἐλευθερίαν τῆς δόξης τουτέστι δι' ἡμᾶς ἔσται καὶ ἡ κτίσις ἄφθαρτος ὥσπερ καὶ δι' ἡμᾶς γέγονε φθαρτή 
444ex	43r	Rom.8.21	Οικου(μενιου) *  		ἡ τὸ εἰς τὴν ἐλευθερίαν δηλοῖ τουτέστιν εἰς τὴν αὐτὴν εἰς ἦν καὶ ἡμεῖς ἐλευθερίαν τῆς φθορᾶς ἐλεύσεται οἷον ἐκ φθαρτῆς ἄφθαρτος ἔσται 
445	43r	Rom.8.22	με  	οἴδαμεν γὰρ ὅτι πᾶσα ἡ κτίσις 	στενάζει φησι ἡ κτίσις βουλουμένη τὴν φθορὰν ἀποθέσθαι λοιπὸν εἰ δὲ ἡ κτίσις πολλῷ μᾶλλον ἡμεῖς τοῦτο ἐθέλειν ὀφείλομεν καὶ μὴ τοῖς ὧδε κεχηνέναι οἱ καὶ λόγῳ τετιμημένοι καὶ υἱοθεσίαν προσδοκῶντες 
446	43r	Rom.8.22	μϛ  	συστενάζει καὶ συνωδίνει ἄχρι τοῦ νυν 	ἐπειδὴ καὶ οἱ τὴν ἀπαρχὴν τοῦ πνεύματος ἔχοντες καὶ ἡμεῖς αὐτοὶ στενάζομεν διὰ τοῦτο συνωδίνει 
447	43r	Rom.8.23	μζ  	οὐ μόνον δὲ ἀλλὰ καὶ αὐτοὶ τὴν ἀπαρχὴν τοῦ πνεύματος ἔχοντες καὶ ἡμεῖς αὐτοὶ ἐν ἑαυτοῖς 	οὐ μόνον φησι ἡ κτίσις στενάζει ἀλλὰ καὶ οἱ ἀρχήν τινα μικρὰν καὶ γεῦσιν τοῦ πνεύματος λαβόντες σπεύδουσι πρὸς τὰ ἐκεῖ μεταβῆναι εἰ γὰρ ἡ ἀπαρχὴ τοῦ πνεύματος τοιαύτη ώστε ποιεῖν θαυματουργίας ἐκ τῆς σκιᾶς τι τὸ τέλειον 
448	43r	Rom.8.23	μη  	στενάζομεν 	ἵνα μή τις εἴπῃ σὺ εἶπας θεοὶ ἐσμεν καὶ ποίαν ἄλλην προσδοκῶμεν υιοθησιαν φησι τὴν ἀπολύτρωσιν τοῦ σώματος τουτέστι τὴν ἀφθαρσίαν τότε γὰρ βεβαία ἡ υἱοθεσία καὶ τότε ἥξει τὰ αὐτῆς ἀποτελέσματα νυν γὰρ οὔτε ἡ δόξα δήλη ἀλλὰ καὶ προσδοκία ἐκ πτωσεως διὰ βίου κατεγνωσμένου 
448exa	43r	Rom.8.23	*  		καί τινος ἕνεκεν τὴν ἀπολύτρωσιν τοῦ σώματος εἶπεν τὴν αμφθαρσιαν 
448exb	43r	Rom.8.23	*  		ἵνα μή τις εἴπῃ σὺ εἶπας θεοὶ ἐσμεν καὶ ποίαν ἄλλην προσδοκῶμεν υιοθησιαν φησι τὴν ἀπολύτρωσιν τοῦ σώματος 
449	43v	Rom.8.23	μθ  	υἱοθεσίαν ἀπεκδεχομενοι τὴν ἀπολύτρωσιν τοῦ σώματος ἡμῶν 	εἶτα ἵνα μὴ νομισθῇ τὰ παρόντα διαβάλλειν καὶ δῷ λαβὴν τοῖς αἱρετικοῖς φησιν οὐδε τὰ παρόντα κακὰ ἀλλὰ τὰ προσδοκώμενα βελτίω ἃ ἐστιν υἱοθεσία 
449ex	43v	Rom.8.23	Οικου(μενιου) *  		τότε γὰρ τὰ τῆς υἱοθεσίας ἀποτελέσματα 
449Ph	43v	Rom.8.23	Φωτ(ιου) *  		Υἱοθεσίαν ἀπεκδεχομενοι ποίαν τὶ γὰρ οὐκ ἐλάβομεν ταύτην διὰ τοῦ βαπτίσματος οὐχὶ δὲ καὶ αὐτὸς πρὸ μικροῦ ἔφης ὅτι πνεῦμα υἱοθεσίας ἐλάβετε ναὶ φησὶν ποίαν οὖν ἐκδεχομεθα τὴν φανερουμένην φησὶ κατὰ τὴν ἀπολύτρωσιν τοῦ σώματος ἄλλην παρὰ τὴν εἰρημένην μὴ γένοιτο ἀλλ' αὐτὴν ἐκείνην τελειότερὸν φανερουμένην καὶ διὰ πείρας αὐτῆς ἐπιγινωσκομένην μετὰ γὰρ τὴν ἀπολύτρωσιν τοῦ σώματος τότε ἡ τῶν ἀγαθῶν ἀπολαυσις τότε αὐτοῦ τοῦ σώματος ἡ ἀνάστασις καὶ ἀφθαρσία τότε ἡ τῆς τῶν οὐρανῶν βασιλείας κληρονομία τότε πάντα τὰ τῆς υἱοθεσίας γνωρίσματα καὶ ἀποτελέσματα καὶ νῦν γὰρ ἐπ' ἐλπίδι τούτων ἐλάβομεν τὴν υἱοθεσίαν αὐτὸς δὲ ἐμφαντικώτερον εἶπεν ἐσώθημεν δηλῶν ὡς ἀπὸ κλύδωνος καὶ ταραχῆς μεγάλης τῆς κατὰ τὴν ἁμαρτίαν υἱοθετηθέντες ἐσώθημεν πῶς οὖν ἠλπίσαμεν ταῦτα μὴ τούτων παραγεγονότων ἤδη μηδ' ὑπ' ὄψιν ἡμῶν πεσόντων μηδ' ὑπὸ πεῖραν καλῶς φησι καὶ εὐλογως εἰ γὰρ ὑπ' ὄψιν ἡμῶν καὶ ὑπὸ πεῖραν ἤδη τὰ ἐλπιζομενα ἐγεγονει οὐκ ἂν ἦν ἐλπιζομενα ὃ γάρ τις κατέχει πῶς οἷον τὲ ἐστιν ἐλπίζειν οὐκοῦν κατὰ φύσιν τῆς ἐλπίδος ἴδιον τοῦτο τὸ περὶ τῶν μελλόντων αὐτὴν καὶ μήπω παρόντων εἶναι ὥστε καὶ ἡμᾶς ἃ οὐ βλέπομεν ἐκεῖνα δεῖ ἐλπίζειν εἰ δὲ ἃ οὐ βλέπομεν ὥσπερ δεῖ ἐκεῖνα καὶ ἐλπίζομεν ὑπομένειν χρὴ καὶ ἀποδέχεσθαι τὰ προσδοκηθέντα καὶ μὴ ἀθροον ἐπιζητεῖν αὐτὰ παραγενέσθαι μάλιστα τοῦ πνεύματος διὰ τῶν ἐνταῦθα χαρισμάτων καὶ εὐεργεσιῶν πιστουμένου τὰ ἐκεῖθεν καὶ τὴν ἀσθένειαν τῶν {λογισμῶν συνατιλαμβανου /λογισμῶν ἡμῶν συναντιλαμβανου }* καὶ θεραπεύοντος πόσα γὰρ εὐεργετεῖ ἐν αὐταῖς ἡμῶν ταῖς εὐχαῖς ἵνα νῦν τὰ ἄλλα ἐάσω διδάσκον ὅπως χρὴ εὔχεσθαι ἐρευνῶν τὰς καρδίας καὶ ἁπλῶς πάντα εἰς ἀγαθὸν συνεργοῦν Ἄλλως υἱοθεσίαν ἀπεκδεχομενοι διὰ τὶ ἀπεκδέχῃ ὅτι τῇ ἀπεκδοχῇ καὶ ἐλπίδι ἐσώθημεν πῶς οὖν οὐ χρὴ ἀπεκδέχεσθαι καὶ ἐλπίζειν ἔτι εἰ δὲ δεῖ ἐλπίζειν δεῖ πάντως ὑπομένειν καὶ δι' ὑπομονῆς τὰ ἐλπιζομενα απἐκδέχεσθαι ἔχομεν δὲ πρὸς τούτοις καὶ τὰ πνευματικὰ χαρίσματα συναντιλαμβάνοντα ταῖς ἀσθενείαις ἡμῶν καὶ μὴ ἐῶντα ἡμᾶς πρὸς τὰς ἐλπίδας ὀκλάσαι ὅτι δὲ τὸ πνευματικὸν χάρισμα συναντιλαμβάνεται ταῖς ἀσθενείαις ἡμῶν αὐτίκα δῆλον καὶ ἀπὸ τοῦ πνευματικοῦ χαρίσματος τοῦ περὶ τὰς εὐχὰς χορηγηθέντος ἡμῖν τὸ πνεῦμα γὰρ ἐνταῦθα τρὶς ὀνομάσας τὸ πνευματικὸν ἐδήλωσε χάρισμα ἐρευνῶν δὲ τὰς καρδίας αὐτὸ τὸ πανάγιον πνεῦμα τὸ ἐκ πατρὸς προερχόμενον 
